date,session_id,phase,environment,client_app,provider,model,service_tier,participants,prompt_count,estimated_tokens,cost_usd,pricing_mode,goal,source_refs,what_changed,why_it_mattered,artifacts,ai_usage_strategy,evidence_value,report_section_hint,token_note,follow_up,prompt_candidate,decision_candidate,daily_note_hint,memory_hint,status,notes
2026-04-06,S-GPT-001,Contest Research,Web,ChatGPT,OpenAI,GPT-5.4,Pro,User + GPT,4,50000,,flat-subscription,대회 개요와 준비 로드맵의 큰 그림을 잡는다,공식 URL | 공지 PDF | 홍보 PDF 2종,대회 개요서 초안과 플레이북 방향 및 프롬프트 트래커 초기 구조가 만들어졌다,이후 모든 운영 설계와 워크스페이스 구축의 출발점이 되었다,[[바이브코딩공모전_공지]] | [[vibe_contest_master_playbook_v0_1]] | KEG_AI_Prompt_Tracker.xlsx,설계와 방향 설정을 Web AI에 먼저 맡기고 로컬 구현은 후속 에이전트로 넘겼다,대회 해석과 초기 전략의 기원 기록,기획 | AI 활용 전략 | 도구 선택 이유,정액제 환경이라 exact unavailable,후속 리서치와 구현 분업 검증,P-001~P-004가 이 세션에서 생성됨,,ChatGPT로 개요서와 준비 단계 큰 그림 확보,초기 운영 방향과 플레이북의 출발점,logged,엑셀 트래커 원형과 가장 가까운 초기 기획 세션
2026-04-06,S-PPLX-001,Contest Research,Web,Perplexity,Perplexity,Search+AI,Pro,User + Perplexity,2,18000,,flat-subscription,기관 의도와 유사 대회 패턴을 리서치한다,기관 정보 | 대회 공지 | 웹 검색 결과,기관 선호 포인트와 심사 문법을 추론할 재료를 모았다,문제 정의를 기관 친화 문법으로 맞추는 기준이 생겼다,[[기관_분석_및_심사_전략]] | [[계보_포지셔닝_분석]],Perplexity는 대규모 탐색과 출처 모음에만 쓰고 최종 판단은 별도 문서와 결합했다,기관 적합성과 심사 전략 근거,기획 | 문제 정의 근거 | AI 활용 전략,토큰 비공개라 conservative estimate,실제 문제 후보 평가 시 조사 재활용,P-005와 P-006은 승격 가치가 높음,,기관/심사 문법 리서치 근거 확보,향후 scorecard와 문제 정의에서 재참조 필요,logged,출처 품질은 별도 검증 필요
2026-04-06,S-001,Contest Research,CLI,Claude Code,Anthropic,Opus 4.6,Max,User + Claude,0,,,usage-based-exact-in-jsonl,대회 개요 정리와 워크스페이스 구조화를 시작한다,공지 PDF | 홍보 PDF | 플레이북,대회 개요서와 초기 워크스페이스 구조 및 MOC와 에이전트 뼈대가 만들어졌다,프로젝트 전체를 증빙 중심 워크스페이스로 운영하는 출발점이 되었다,[[바이브코딩공모전_공지]] | `_MOC/` | `.agent/agents/`,Claude Code는 로컬 파일 생성과 구조화에 집중했다,워크스페이스 초기 생성 기록,워크플로우 | AI 활용 과정,exact token source exists in Claude JSONL,증빙 시스템 확장 단계로 연결,,평탄 구조와 증빙 중심 운영 시작,데일리와 장기 기억에 첫 세션 출발점으로 남길 것,,logged,Claude exact 통계는 별도 집계
2026-04-06,S-002,Workspace Setup,CLI,Claude Code,Anthropic,Opus 4.6,Max,User + Claude,0,,,usage-based-exact-in-jsonl,증빙 시스템 개선과 포터블 환경을 정리한다,플레이북 | 엑셀 트래커,증빙 구조 분석 문서와 setup 스크립트 및 포터블 설정이 추가되었다,기록 체계가 일회성이 아니라 재현 가능한 구조로 전환되었다,evidence-system-improvement-analysis.md | setup.sh | portable-config.md,분석 결과를 바로 스크립트와 설정 파일로 연결했다,증빙 체계와 포터블 환경 설계 기록,AI 활용 전략 | 유지보수성,exact token source exists in Claude JSONL,PLAN/PROGRESS 생성으로 이어짐,,엑셀 기반 기록 체계의 한계가 드러남,포터블 환경 구축 이유와 효과를 memory에 남길 것,,logged,DEC-004 전후 맥락과 연결됨
2026-04-06,S-003,Workspace Setup,CLI,Claude Code,Anthropic,Opus 4.6,Max,User + Claude + Codex,0,,,usage-based-exact-in-jsonl,멀티에이전트 조율 체계를 도입한다,Codex 평가 | 운영 문서,PLAN과 PROGRESS가 생기고 멀티 AI 동기화 프로토콜이 도입되었다,여러 AI가 현재 상태와 다음 할 일을 공유할 수 있게 되었다,[[.agent/system/ops/PLAN]] | [[.agent/system/ops/PROGRESS]],Claude는 운영 문서 반영을 맡고 Codex 평가는 입력 신호로 활용했다,멀티 에이전트 조율 체계의 기원,워크플로우 | AI 활용 과정,Claude exact token은 JSONL 참조,증빙 확장과 아키텍처 시각화로 연결,,PLAN/PROGRESS 도입 계기,다중 AI 정합화 위험을 장기 기억에 남길 것,,logged,DEC-006과 직접 연결
2026-04-06,S-CODEX-001,Workspace Setup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,10000,,flat-subscription,워크스페이스 전반을 평가해 약점과 개선점을 찾는다,전체 워크스페이스,워크스페이스 평가서와 개선 우선순위가 정리되었다,운영 정본화와 증빙 체계 재설계의 외부 피드백 근거가 되었다,[[codex-workspace-evaluation]],Codex는 감사와 정리 역할로 활용했다,초기 진단과 약점 식별 근거,AI 활용 전략 | 운영 감사,exact unavailable estimate,평가 결과를 운영 문서에 통합,,Codex 평가서를 통해 개선 방향 확보,PROGRESS에 Codex 참여 이력으로 남길 것,,logged,ai-usage-log U-013 기반 백필
2026-04-06,S-CODEX-002,Workspace Setup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,2,16000,,flat-subscription,AI-native 운영감사 보고서를 작성하고 수정한다,플레이북 | AGENTS | CLAUDE | 증빙 로그,운영감사 보고서 초안과 수정본이 만들어졌다,운영 체계의 통합성/재현성/자동화 한계를 구조적으로 정리했다,[[ai-native-workspace-audit-report]],Codex를 감사와 구조 개선 제안 채널로 사용했다,감사 보고서와 개선 제안 근거,AI 활용 전략 | 유지보수성,exact unavailable estimate,운영 정본 V2 구현으로 연결,,,운영 구조 약점과 개선 포인트를 memory에 유지,,logged,ai-usage-log U-016~017 기반 백필
2026-04-06,S-OPS-001,Workspace Setup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,12000,,flat-subscription,공용 운영 정본 V2를 실제 파일 구조로 반영한다,승인된 V2 계획 | 기존 운영 문서,`.agent/system/` 골격과 계약 문서 및 정본 메모리와 맵 구조가 생겼다,공용 운영 정본이 생기며 워크스페이스가 재현 가능한 시스템으로 바뀌었다,[[workspace-contract]] | [[workspace-atlas]] | `.agent/system/`,구조 설계를 문서와 실제 파일 이동으로 동시에 반영했다,운영 정본화와 시스템 레이어 구축,AI 활용 전략 | 유지보수성/재현성,exact unavailable estimate,문제 리서치 세션에서도 같은 구조가 유효한지 검증,,`.agent/system`을 canonical로 채택,구조 변경 사실을 장기 기억에 남길 것,,logged,session-log 기반
2026-04-06,S-OPS-002,Workspace Cleanup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,14000,,flat-subscription,루트 구조와 경로 정합성을 단순화한다,현재 폴더 구조 | `.agent` | `.claude` | `03_제품` | `04_증빙`,운영 파일이 `.agent/system/ops`로 이동하고 `.claude`가 최소 어댑터로 정리되었다,루트 혼란이 줄고 공용 운영 자산 위치가 명확해졌다,`.agent/system/ops/` | `.claude/` | `03_제품/`,정본과 어댑터를 분리하는 방향으로 정리했다,루트 최소화와 어댑터 단순화 기록,유지보수성 | 재현성,exact unavailable estimate,실전 운용 검증으로 연결,,루트 최소화와 `.context` 제거 결정,경로 정합성 변경은 atlas와 progress에 유지,,logged,DEC-009와 직접 연결
2026-04-06,S-OPS-003,Workspace Cleanup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,14000,,flat-subscription,처음 보는 사용자 기준으로 memory/maps/evidence를 단순화한다,기존 memory/maps/evidence 구조 | 사용자 요구,장기기억/일일기억과 workspace-atlas 및 핵심로그/분석자료/daily 3구역 구조가 생겼다,학습 비용이 줄고 세션 종료 동기화 경로가 분명해졌다,[[long-term-memory]] | [[daily-memory]] | [[workspace-atlas]],복잡한 구조를 파일 수 축소와 sync 스킬로 함께 정리했다,초심자 친화 구조 개편 근거,워크플로우 | 유지보수성,exact unavailable estimate,workspace-sync 실전 적용 검증,,memory/maps/evidence 단순화 결정,구조 단순화 이유를 장기 기억에 남길 것,,logged,DEC-010과 직접 연결
